NAME,State,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,Total Sq. Mi.,Total Sq. Km.
Alabama,AL,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185,"52,420","135,767"
Alaska,AK,722128,730443,737068,736283,737498,741456,739700,735139,731545,"665,384","1,723,337"
Arizona,AZ,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,7278717,"113,990","295,234"
Arkansas,AR,2940667,2952164,2959400,2967392,2978048,2989918,3001345,3009733,3017804,"53,179","137,732"
California,CA,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223,"163,695","423,967"
Colorado,CO,5121108,5192647,5269035,5350101,5450623,5539215,5611885,5691287,5758736,"104,094","269,601"
Connecticut,CT,3588283,3594547,3594841,3594524,3587122,3578141,3573297,3571520,3565287,"5,543","14,357"
Delaware,DE,907381,915179,923576,932487,941252,948921,956823,965479,973764,"2,489","6,446"
District of Columbia,DC,619800,634924,650581,662328,675400,685815,694906,701547,705749,68,177
Florida,FL,19053237,19297822,19545621,19845911,20209042,20613477,20963613,21244317,21477737,"65,758","170,312"
Georgia,GA,9802431,9901430,9972479,10067278,10178447,10301890,10410330,10511131,10617423,"59,425","153,910"
Hawaii,HI,1379329,1394804,1408243,1414538,1422052,1427559,1424393,1420593,1415872,"10,932","28,313"
Idaho,ID,1583910,1595324,1611206,1631112,1651059,1682380,1717715,1750536,1787065,"83,569","216,443"
Illinois,IL,12867454,12882510,12895129,12884493,12858913,12820527,12778828,12723071,12671821,"57,914","149,995"
Indiana,IN,6516528,6537703,6568713,6593644,6608422,6634304,6658078,6695497,6732219,"36,420","94,326"
Iowa,IA,3066336,3076190,3092997,3109350,3120960,3131371,3141550,3148618,3155070,"56,273","145,746"
Kansas,KS,2869225,2885257,2893212,2900475,2909011,2910844,2908718,2911359,2913314,"82,278","213,100"
Kentucky,KY,4369821,4386346,4404659,4414349,4425976,4438182,4452268,4461153,4467673,"40,408","104,656"
Louisiana,LA,4575625,4600972,4624527,4644013,4664628,4678135,4670560,4659690,4648794,"52,378","135,659"
Maine,ME,1328284,1327729,1328009,1330513,1328262,1331317,1334612,1339057,1344212,"35,380","91,633"
Maryland,MD,5839419,5886992,5923188,5957283,5985562,6003323,6023868,6035802,6045680,"12,406","32,131"
Massachusetts,MA,6613583,6663005,6713315,6762596,6794228,6823608,6859789,6882635,6892503,"10,554","27,336"
Michigan,MI,9882412,9897145,9913065,9929848,9931715,9950571,9973114,9984072,9986857,"96,714","250,487"
Minnesota,MN,5346143,5376643,5413479,5451079,5482032,5522744,5566230,5606249,5639632,"86,936","225,163"
Mississippi,MS,2978731,2983816,2988711,2990468,2988471,2987938,2988510,2981020,2976149,"48,432","125,438"
Missouri,MO,6010275,6024367,6040715,6056202,6071732,6087135,6106670,6121623,6137428,"69,707","180,540"
Montana,MT,997316,1003783,1013569,1021869,1030475,1040859,1052482,1060665,1068778,"147,040","380,831"
Nebraska,NE,1840672,1853303,1865279,1879321,1891277,1905616,1915947,1925614,1934408,"77,348","200,330"
Nevada,NV,2712730,2743996,2775970,2817628,2866939,2917563,2969905,3027341,3080156,"110,572","286,380"
New Hampshire,NH,1320202,1324232,1326622,1333341,1336350,1342307,1348787,1353465,1359711,"9,349","24,214"
New Jersey,NJ,8828117,8844942,8856972,8864525,8867949,8870827,8885525,8886025,8882190,"8,723","22,591"
New Mexico,NM,2080450,2087309,2092273,2089568,2089291,2091630,2091784,2092741,2096829,"121,590","314,917"
New York,NY,19499241,19572932,19624447,19651049,19654666,19633428,19589572,19530351,19453561,"54,555","141,297"
North Carolina,NC,9657592,9749476,9843336,9932887,10031646,10154788,10268233,10381615,10488084,"53,819","139,391"
North Dakota,ND,685225,701176,722036,737401,754066,754434,754942,758080,762062,"70,698","183,108"
Ohio,OH,11544663,11548923,11576684,11602700,11617527,11634370,11659650,11676341,11689100,"44,826","116,098"
Oklahoma,OK,3788379,3818814,3853214,3878187,3909500,3926331,3931316,3940235,3956971,"69,899","181,037"
Oregon,OR,3872036,3899001,3922468,3963244,4015792,4089976,4143625,4181886,4217737,"98,379","254,799"
Pennsylvania,PA,12745815,12767118,12776309,12788313,12784826,12782275,12787641,12800922,12801989,"46,054","119,280"
Rhode Island,RI,1053649,1054621,1055081,1055936,1056065,1056770,1055673,1058287,1059361,"1,545","4,001"
South Carolina,SC,4671994,4717354,4764080,4823617,4891938,4957968,5021268,5084156,5148714,"32,020","82,933"
South Dakota,SD,823579,833566,842316,849129,853988,862996,872868,878698,884659,"77,116","199,729"
Tennessee,TN,6399291,6453898,6494340,6541223,6591170,6646010,6708799,6771631,6829174,"42,144","109,153"
Texas,TX,25645629,26084481,26480266,26964333,27470056,27914410,28295273,28628666,28995881,"268,596","695,662"
Utah,UT,2814384,2853375,2897640,2936879,2981835,3041868,3101042,3153550,3205958,"84,897","219,882"
Vermont,VT,627049,626090,626210,625214,625216,623657,624344,624358,623989,"9,616","24,906"
Virginia,VA,8101155,8185080,8252427,8310993,8361808,8410106,8463587,8501286,8535519,"42,775","110,787"
Washington,WA,6826627,6897058,6963985,7054655,7163657,7294771,7423362,7523869,7614893,"71,298","184,661"
West Virginia,WV,1856301,1856872,1853914,1849489,1842050,1831023,1817004,1804291,1792147,"24,230","62,756"
Wisconsin,WI,5705288,5719960,5736754,5751525,5760940,5772628,5790186,5807406,5822434,"65,496","169,635"
