,Year,STATE,Question,DataValue,StratificationCategory1,Stratification1
0,2015,AL,Mortality from heart failure,124.4,Overall,Overall
1,2012,AL,Mortality from diseases of the heart,234.8,Gender,Female
2,2015,AL,Mortality from coronary heart disease,13.8,Race/Ethnicity,Hispanic
3,2015,AL,Mortality from diseases of the heart,27.1,Race/Ethnicity,Hispanic
4,2015,AL,Mortality from heart failure,9.8,Race/Ethnicity,Hispanic
5,2014,AL,Mortality from diseases of the heart,36.9,Race/Ethnicity,Hispanic
6,2014,AL,Mortality from coronary heart disease,88.1,Gender,Female
7,2017,AL,Mortality from heart failure,96.6,Race/Ethnicity,"Black, non-Hispanic"
8,2017,AL,Mortality from total cardiovascular diseases,400.3,Race/Ethnicity,"White, non-Hispanic"
9,2017,AL,Mortality from diseases of the heart,240.0,Gender,Female
10,2017,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,161.9,Overall,Overall
11,2017,AL,Mortality from heart failure,126.5,Gender,Female
12,2017,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,282.8,Gender,Male
13,2017,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander
14,2017,AL,Mortality from coronary heart disease,121.1,Race/Ethnicity,"White, non-Hispanic"
15,2017,AL,Mortality from heart failure,124.2,Overall,Overall
16,2017,AL,Mortality from heart failure,121.7,Gender,Male
17,2017,AL,Premature mortality among adults aged 45-64 years,1075.0,Race/Ethnicity,"Black, non-Hispanic"
18,2017,AL,Premature mortality among adults aged 45-64 years,910.4,Overall,Overall
19,2017,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,American Indian or Alaska Native
20,2017,AL,Premature mortality among adults aged 45-64 years,317.5,Race/Ethnicity,American Indian or Alaska Native
21,2017,AL,Mortality from diseases of the heart,268.9,Overall,Overall
22,2017,AL,Mortality from coronary heart disease,77.4,Race/Ethnicity,"Black, non-Hispanic"
23,2017,AL,Mortality from total cardiovascular diseases,300.3,Race/Ethnicity,"Black, non-Hispanic"
24,2017,AL,Premature mortality among adults aged 45-64 years,685.6,Gender,Female
25,2017,AL,Mortality from diseases of the heart,312.2,Race/Ethnicity,"White, non-Hispanic"
26,2017,AL,Mortality from heart failure,,Race/Ethnicity,Asian or Pacific Islander
27,2017,AL,Mortality from coronary heart disease,,Race/Ethnicity,American Indian or Alaska Native
28,2017,AL,Mortality from total cardiovascular diseases,375.2,Gender,Male
29,2017,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,196.8,Race/Ethnicity,"White, non-Hispanic"
30,2017,AL,Mortality from heart failure,12.3,Race/Ethnicity,Hispanic
31,2017,AL,Premature mortality among adults aged 45-64 years,262.0,Race/Ethnicity,Asian or Pacific Islander
32,2017,AL,Mortality from diseases of the heart,56.8,Race/Ethnicity,Asian or Pacific Islander
33,2017,AL,Mortality from coronary heart disease,,Race/Ethnicity,Asian or Pacific Islander
34,2017,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Hispanic
35,2017,AL,Mortality from coronary heart disease,102.6,Overall,Overall
36,2017,AL,Mortality from diseases of the heart,,Race/Ethnicity,American Indian or Alaska Native
37,2017,AL,Mortality from diseases of the heart,299.8,Gender,Male
38,2017,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,299.6,Race/Ethnicity,"White, non-Hispanic"
39,2017,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,72.8,Race/Ethnicity,"Black, non-Hispanic"
40,2017,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,American Indian or Alaska Native
41,2017,AL,Mortality from coronary heart disease,126.8,Gender,Male
42,2017,AL,Premature mortality among adults aged 45-64 years,891.5,Race/Ethnicity,"White, non-Hispanic"
43,2017,AL,Mortality from total cardiovascular diseases,351.3,Overall,Overall
44,2017,AL,Mortality from diseases of the heart,216.1,Race/Ethnicity,"Black, non-Hispanic"
45,2017,AL,Mortality from total cardiovascular diseases,80.1,Race/Ethnicity,American Indian or Alaska Native
46,2017,AL,Mortality from heart failure,145.6,Race/Ethnicity,"White, non-Hispanic"
47,2017,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,129.7,Race/Ethnicity,"Black, non-Hispanic"
48,2017,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,251.0,Overall,Overall
49,2017,AL,Asthma mortality rate,,Race/Ethnicity,American Indian or Alaska Native
50,2017,AL,Premature mortality among adults aged 45-64 years,1153.0,Gender,Male
51,2017,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander
52,2017,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Hispanic
