,STATE,Year,CO2,CH4,N2O,Fluorinated GHG,Laws and Regulations,State Incentives,Utility/Private Incentives,Ozone,cluster
0,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,1
1,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,1
2,AL,2014,84847355,634009,525399,312201,3,7,4,0.040936493,1
3,AL,2015,82143007,611595,462661,263031,3,7,3,0.039063391,1
4,AL,2016,75103394,550119,528136,302584,3,6,2,0.042845087,1
5,AL,2017,70270491,588407,435502,421790,2,6,1,0.039428029,1
6,AL,2018,72554349,523364,347670,466297,3,6,1,0.040320924,1
7,AK,2012,16965771,266399,16286,,6,1,0,0.029938083,1
8,AK,2013,16570359,240326,15666,,6,1,0,0.029196,1
9,AK,2014,16046278,226396,15204,,4,1,0,0.027239667,1
10,AK,2015,16463951,195945,15831,,4,1,0,0.028776556,1
11,AK,2016,12975340,158070,12957,,4,1,0,0.027497,1
12,AK,2017,13125628,152170,13108,,4,1,0,0.027371222,1
13,AK,2018,12681885,154218,13279,,4,1,0,0.025783222,1
14,AZ,2012,56327014,242637,600520,,14,8,8,0.050738593,1
15,AZ,2013,58689116,262764,609807,,14,9,7,0.049869906,1
16,AZ,2014,58028639,275960,643834,,14,8,7,0.04843279,1
17,AZ,2015,54998713,284668,612387,,14,8,6,0.047560753,1
18,AZ,2016,49354520,220458,522772,,13,9,6,0.047100493,1
19,AZ,2017,48991573,232314,392159,,13,8,6,0.048097641,1
20,AZ,2018,52318221,178678,711814,,13,8,6,0.047666724,1
21,AR,2012,42028598,400720,911315,57764,10,3,1,0.046598148,1
22,AR,2013,42696466,360102,545819,61106,10,5,1,0.042231926,1
23,AR,2014,42403787,311953,797326,59627,9,4,1,0.039470222,1
24,AR,2015,33428083,225930,606758,69860,9,3,1,0.039326444,1
25,AR,2016,35107458,222074,172057,61800,7,2,1,0.04047475,1
26,AR,2017,36933474,201795,420691,70134,8,2,1,0.040460125,1
27,AR,2018,42831669,237709,473010,86519,8,2,1,0.039867958,1
28,CA,2012,98942946,1978857,171905,,33,35,40,0.044214102,3
