STATE,Year,CO2,CH4,N2O,Fluorinated GHG,Incentives,Laws and Regulations,State Incentives,Utility/Private Incentives,Programs,State Hybrid Incentives,Ozone
AL,2012,84138381,701702,602778,264437,0,3,7,4,0,0,0.044214889
AL,2013,83297945,594388,451420,274194,0,3,7,4,0,0,0.039732884
AL,2014,84847355,634009,525399,312201,0,3,7,4,0,0,0.040936493
AL,2015,82143007,611595,462661,263031,0,3,7,3,0,0,0.039063391
AL,2016,75103394,550119,528136,302584,0,3,6,2,0,0,0.042845087
AL,2017,70270491,588407,435502,421790,0,2,6,1,0,0,0.039428029
AL,2018,72554349,523364,347670,466297,0,3,6,1,0,0,0.040320924
AK,2012,16965771,266399,16286,0,0,6,1,0,0,0,0.029938083
AK,2013,16570359,240326,15666,0,0,6,1,0,0,0,0.029196
AK,2014,16046278,226396,15204,0,0,4,1,0,0,0,0.027239667
AK,2015,16463951,195945,15831,0,0,4,1,0,0,0,0.028776556
AK,2016,12975340,158070,12957,0,0,4,1,0,0,0,0.027497
AK,2017,13125628,152170,13108,0,0,4,1,0,0,0,0.027371222
AK,2018,12681885,154218,13279,0,0,4,1,0,0,0,0.025783222
AZ,2012,56327014,242637,600520,0,0,14,8,8,0,0,0.050738593
AZ,2013,58689116,262764,609807,0,0,14,9,7,0,0,0.049869906
AZ,2014,58028639,275960,643834,0,0,14,8,7,0,0,0.04843279
AZ,2015,54998713,284668,612387,0,0,14,8,6,0,0,0.047560753
AZ,2016,49354520,220458,522772,0,0,13,9,6,0,0,0.047100493
AZ,2017,48991573,232314,392159,0,0,13,8,6,0,0,0.048097641
AZ,2018,52318221,178678,711814,0,0,13,8,6,0,0,0.047666724
AR,2012,42028598,400720,911315,57764,0,10,3,1,0,0,0.046598148
AR,2013,42696466,360102,545819,61106,0,10,5,1,0,0,0.042231926
AR,2014,42403787,311953,797326,59627,0,9,4,1,0,0,0.039470222
AR,2015,33428083,225930,606758,69860,0,9,3,1,0,0,0.039326444
AR,2016,35107458,222074,172057,61800,0,7,2,1,0,0,0.04047475
AR,2017,36933474,201795,420691,70134,0,8,2,1,0,0,0.040460125
AR,2018,42831669,237709,473010,86519,0,8,2,1,0,0,0.039867958
CA,2012,98942946,1978857,171905,0,0,33,35,40,0,0,0.044214102
CA,2013,99544646,1908932,167889,0,0,38,35,39,0,0,0.043125328
CA,2014,101318500,1909938,131883,0,0,43,36,39,0,0,0.044685066
CA,2015,98115500,1943230,131883,0,0,45,38,38,0,0,0.043944144
CA,2016,84968517,1882411,107285,0,0,47,37,37,0,0,0.043807644
CA,2017,80834357,1880144,95496,0,0,52,38,41,0,0,0.044673866
CA,2018,82223603,1871614,96017,0,0,57,36,39,0,0,0.04403239
CO,2012,48356965,673170,190613,0,0,11,15,4,0,0,0.056173993
CO,2013,48047597,578572,187682,0,0,14,16,4,0,0,0.05417827
CO,2014,47508140,536069,182885,0,0,14,17,3,0,0,0.051474933
CO,2015,46894374,586289,180444,0,0,18,16,3,0,0,0.051100753
CO,2016,43745322,427044,168539,0,0,18,18,3,0,0,0.05020134
CO,2017,42867733,403204,164731,0,0,19,17,3,0,0,0.047394373
CO,2018,41841263,333773,148311,0,0,21,16,3,0,0,0.049235417
CT,2012,7443240,271298,7556,0,0,11,8,2,0,0,0.047822333
CT,2013,7459233,259222,7611,0,0,10,9,2,0,0,0.047166472
CT,2014,7351150,241192,8429,0,0,11,9,2,0,0,0.045498972
CT,2015,8141859,246803,8172,0,0,11,9,2,0,0,0.047098972
CT,2016,7648905,238334,5390,0,0,17,8,2,0,0,0.047107183
CT,2017,6882638,233869,5143,0,0,17,8,2,0,0,0.042827333
CT,2018,8810510,237234,6937,0,0,17,8,2,0,0,0.042765278
DE,2012,8868023,315393,19296,0,0,4,9,5,0,0,0.046632381
DE,2013,7932200,320105,16742,0,0,4,9,5,0,0,0.042863429
DE,2014,7798501,374321,13222,0,0,3,9,5,0,0,0.043433714
DE,2015,7547438,502657,13336,0,0,3,9,4,0,0,0.045130905
DE,2016,7832062,496746,14045,0,0,3,8,4,0,0,0.044544095
DE,2017,6560049,488161,10194,0,0,3,7,4,0,0,0.042460143
DE,2018,6578229,439430,11025,0,0,3,7,3,0,0,0.040938667
FL,2012,120645361,6901194,5739976,0,0,15,7,9,0,0,0.037725525
FL,2013,118084663,6606354,4501029,0,0,15,8,9,0,0,0.036521456
FL,2014,123269319,6671539,4994554,0,0,14,8,9,0,0,0.038533294
FL,2015,122278676,6564558,4080300,0,0,14,8,9,0,0,0.035944588
FL,2016,119934078,6872800,7524030,0,0,14,7,7,0,0,0.037793787
FL,2017,117113291,7406817,7748239,0,0,14,7,7,0,0,0.037094046
FL,2018,114676444,7754614,10807191,0,0,15,7,6,0,0,0.036469701
GA,2012,68712277,5475353,974012,0,0,6,9,5,0,0,0.044242444
GA,2013,66860223,5792625,943831,0,0,6,9,4,0,0,0.039603048
GA,2014,72214155,5910259,891464,0,0,5,10,4,0,0,0.041430937
GA,2015,67822919,5762788,806210,0,0,6,7,4,0,0,0.039999444
GA,2016,68832714,5629746,955746,0,0,6,7,3,0,0,0.044347603
GA,2017,62295847,5561195,835107,0,0,6,6,3,0,0,0.0402417
GA,2018,62615237,6035282,646851,0,0,6,5,3,0,0,0.039748228
HI,2012,9002385,449058,34707,0,0,16,3,3,0,0,0.026813
HI,2013,8433448,402093,36760,0,0,16,3,3,0,0,0.029166833
HI,2014,8618319,389865,34955,0,0,15,3,3,0,0,0.027041
HI,2015,8476439,389086,34235,0,0,15,3,3,0,0,0.028106167
HI,2016,8307413,328296,34096,0,0,15,3,3,0,0,0.02922
HI,2017,7831066,329809,29164,0,0,15,3,3,0,0,0.029274333
HI,2018,7853288,356888,31101,0,0,14,3,3,0,0,0.029367167
ID,2012,3224664,439437,28062,52716,0,6,4,2,0,0,0.049921556
ID,2013,4121630,595299,13106,41443,0,6,5,2,0,0,0.0454098
ID,2014,3598793,568566,11635,38633,0,6,5,2,0,0,0.048538444
ID,2015,4189643,657680,11526,53311,0,8,5,2,0,0,0.047660933
ID,2016,3905882,613376,10402,67836,0,8,5,2,0,0,0.047441733
ID,2017,3790158,595248,9578,45753,0,9,5,2,0,0,0.04596325
ID,2018,3762251,563705,9705,50669,0,8,5,2,0,0,0.040650833
IL,2012,120217587,7788190,666095,1766538,0,20,18,3,0,0,0.047488
IL,2013,122960612,8092836,654057,2479664,0,22,18,2,0,0,0.041957851
IL,2014,121941962,7980578,529376,1465387,0,19,19,2,0,0,0.041747225
IL,2015,109192848,9270514,481262,1092957,0,19,19,2,0,0,0.041979387
IL,2016,96390512,9130575,407616,868370,0,19,17,2,0,0,0.042857577
IL,2017,93157350,7332914,392019,946365,0,20,13,1,0,0,0.04342764
IL,2018,97792906,6476368,506608,935118,0,18,12,1,0,0,0.042618261
IN,2012,148643197,6469836,651622,200140,0,13,17,5,0,0,0.04929214
IN,2013,149530450,6500050,508009,203444,0,16,21,5,0,0,0.044382614
IN,2014,153565562,6450999,523286,303211,0,15,19,5,0,0,0.043502514
IN,2015,135228766,6595353,435616,289834,0,14,15,5,0,0,0.042296181
IN,2016,132281876,5929805,409760,253087,0,14,12,5,0,0,0.043927419
IN,2017,131660934,5848882,396793,180607,0,16,12,3,0,0,0.042524227
IN,2018,139107023,6020561,422149,281807,0,16,12,2,0,0,0.041615262
IA,2012,53709131,1766165,1171230,0,0,10,10,6,0,0,0.046629822
IA,2013,51815222,1626488,1008033,0,0,10,9,6,0,0,0.041200044
IA,2014,52419737,1520037,1034984,0,0,10,8,6,0,0,0.0398395
IA,2015,47855064,1566947,929735,0,0,10,8,6,0,0,0.039852256
