,STATE,Year,CO2,CH4,N2O,Fluorinated GHG,Incentives,Laws and Regulations,State Incentives,Utility/Private Incentives,Programs,State Hybrid Incentives
0,AL,2012,84138381,701702,602778,264437,0.0,3.0,7.0,4.0,0.0,0.0
1,AL,2013,83297945,594388,451420,274194,0.0,3.0,7.0,4.0,0.0,0.0
2,AL,2014,84847355,634009,525399,312201,0.0,3.0,7.0,4.0,0.0,0.0
3,AL,2015,82143007,611595,462661,263031,0.0,3.0,7.0,3.0,0.0,0.0
4,AL,2016,75103394,550119,528136,302584,0.0,3.0,6.0,2.0,0.0,0.0
5,AL,2017,70270491,588407,435502,421790,0.0,2.0,6.0,1.0,0.0,0.0
6,AL,2018,72554349,523364,347670,466297,0.0,3.0,6.0,1.0,0.0,0.0
7,AK,2012,16965771,266399,16286,/,0.0,6.0,1.0,0.0,0.0,0.0
8,AK,2013,16570359,240326,15666,/,0.0,6.0,1.0,0.0,0.0,0.0
9,AK,2014,16046278,226396,15204,/,0.0,4.0,1.0,0.0,0.0,0.0
10,AK,2015,16463951,195945,15831,/,0.0,4.0,1.0,0.0,0.0,0.0
11,AK,2016,12975340,158070,12957,/,0.0,4.0,1.0,0.0,0.0,0.0
12,AK,2017,13125628,152170,13108,/,0.0,4.0,1.0,0.0,0.0,0.0
13,AK,2018,12681885,154218,13279,/,0.0,4.0,1.0,0.0,0.0,0.0
14,AZ,2012,56327014,242637,600520,/,0.0,14.0,8.0,8.0,0.0,0.0
15,AZ,2013,58689116,262764,609807,/,0.0,14.0,9.0,7.0,0.0,0.0
16,AZ,2014,58028639,275960,643834,/,0.0,14.0,8.0,7.0,0.0,0.0
17,AZ,2015,54998713,284668,612387,/,0.0,14.0,8.0,6.0,0.0,0.0
18,AZ,2016,49354520,220458,522772,/,0.0,13.0,9.0,6.0,0.0,0.0
19,AZ,2017,48991573,232314,392159,/,0.0,13.0,8.0,6.0,0.0,0.0
20,AZ,2018,52318221,178678,711814,/,0.0,13.0,8.0,6.0,0.0,0.0
21,AR,2012,42028598,400720,911315,57764,0.0,10.0,3.0,1.0,0.0,0.0
