,STATE,Year,CO2,CH4,N2O,Fluorinated GHG,Laws and Regulations,State Incentives,Utility/Private Incentives,Ozone,Question,DataValue,StratificationCategory1,Stratification1,Population,Total Sq. Mi.,Total Sq. Km.
0,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from diseases of the heart,234.8,Gender,Female,4815588.0,"52,420","135,767"
1,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Asthma mortality rate,14.9,Gender,Female,4815588.0,"52,420","135,767"
2,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Asthma mortality rate,8.6,Gender,Male,4815588.0,"52,420","135,767"
3,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Asthma mortality rate,8.9,Race/Ethnicity,"White, non-Hispanic",4815588.0,"52,420","135,767"
4,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Asthma mortality rate,21.8,Race/Ethnicity,"Black, non-Hispanic",4815588.0,"52,420","135,767"
5,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Asthma mortality rate,11.8,Overall,Overall,4815588.0,"52,420","135,767"
6,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Asthma mortality rate,,Race/Ethnicity,Asian or Pacific Islander,4815588.0,"52,420","135,767"
7,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Asthma mortality rate,,Race/Ethnicity,Hispanic,4815588.0,"52,420","135,767"
8,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Asthma mortality rate,,Race/Ethnicity,American Indian or Alaska Native,4815588.0,"52,420","135,767"
9,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from heart failure,,Race/Ethnicity,Asian or Pacific Islander,4815588.0,"52,420","135,767"
10,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander,4815588.0,"52,420","135,767"
11,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,215.4,Gender,Female,4815588.0,"52,420","135,767"
12,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from coronary heart disease,127.0,Gender,Male,4815588.0,"52,420","135,767"
13,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from coronary heart disease,129.0,Race/Ethnicity,"White, non-Hispanic",4815588.0,"52,420","135,767"
14,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,279.9,Gender,Male,4815588.0,"52,420","135,767"
15,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Premature mortality among adults aged 45-64 years,661.7,Gender,Female,4815588.0,"52,420","135,767"
16,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Premature mortality among adults aged 45-64 years,363.7,Race/Ethnicity,American Indian or Alaska Native,4815588.0,"52,420","135,767"
17,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from total cardiovascular diseases,29.1,Race/Ethnicity,Hispanic,4815588.0,"52,420","135,767"
18,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from total cardiovascular diseases,368.0,Race/Ethnicity,"White, non-Hispanic",4815588.0,"52,420","135,767"
19,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from diseases of the heart,210.9,Race/Ethnicity,"Black, non-Hispanic",4815588.0,"52,420","135,767"
20,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from heart failure,124.4,Gender,Female,4815588.0,"52,420","135,767"
21,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,American Indian or Alaska Native,4815588.0,"52,420","135,767"
22,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from diseases of the heart,20.4,Race/Ethnicity,Hispanic,4815588.0,"52,420","135,767"
23,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Premature mortality among adults aged 45-64 years,832.5,Race/Ethnicity,"White, non-Hispanic",4815588.0,"52,420","135,767"
24,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from diseases of the heart,,Race/Ethnicity,Asian or Pacific Islander,4815588.0,"52,420","135,767"
25,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from coronary heart disease,,Race/Ethnicity,Hispanic,4815588.0,"52,420","135,767"
26,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from diseases of the heart,265.3,Gender,Male,4815588.0,"52,420","135,767"
27,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Premature mortality among adults aged 45-64 years,198.1,Race/Ethnicity,Asian or Pacific Islander,4815588.0,"52,420","135,767"
28,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from heart failure,,Race/Ethnicity,Hispanic,4815588.0,"52,420","135,767"
29,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,American Indian or Alaska Native,4815588.0,"52,420","135,767"
30,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from diseases of the heart,284.5,Race/Ethnicity,"White, non-Hispanic",4815588.0,"52,420","135,767"
31,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from heart failure,138.8,Race/Ethnicity,"White, non-Hispanic",4815588.0,"52,420","135,767"
32,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from coronary heart disease,93.9,Gender,Female,4815588.0,"52,420","135,767"
33,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Premature mortality among adults aged 45-64 years,254.2,Race/Ethnicity,Hispanic,4815588.0,"52,420","135,767"
34,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from total cardiovascular diseases,284.5,Race/Ethnicity,"Black, non-Hispanic",4815588.0,"52,420","135,767"
35,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,159.5,Gender,Male,4815588.0,"52,420","135,767"
