STATE,YEAR,Incentives,Laws and Regulations,State Incentives,Utility/Private Incentives,Programs,State Hybrid Incentives
AK,2012,0,6,1,0,0,0
AK,2013,0,6,1,0,0,0
AK,2014,0,4,1,0,0,0
AK,2015,0,4,1,0,0,0
AK,2016,0,4,1,0,0,0
AK,2017,0,4,1,0,0,0
AK,2018,0,4,1,0,0,0
AL,2012,0,3,7,4,0,0
AL,2013,0,3,7,4,0,0
AL,2014,0,3,7,4,0,0
AL,2015,0,3,7,3,0,0
AL,2016,0,3,6,2,0,0
AL,2017,0,2,6,1,0,0
AL,2018,0,3,6,1,0,0
AR,2012,0,10,3,1,0,0
AR,2013,0,10,5,1,0,0
AR,2014,0,9,4,1,0,0
AR,2015,0,9,3,1,0,0
AR,2016,0,7,2,1,0,0
AR,2017,0,8,2,1,0,0
AR,2018,0,8,2,1,0,0
AZ,2012,0,14,8,8,0,0
AZ,2013,0,14,9,7,0,0
AZ,2014,0,14,8,7,0,0
AZ,2015,0,14,8,6,0,0
AZ,2016,0,13,9,6,0,0
AZ,2017,0,13,8,6,0,0
AZ,2018,0,13,8,6,0,0
CA,2012,0,33,35,40,0,0
CA,2013,0,38,35,39,0,0
CA,2014,0,43,36,39,0,0
CA,2015,0,45,38,38,0,0
CA,2016,0,47,37,37,0,0
CA,2017,0,52,38,41,0,0
CA,2018,0,57,36,39,0,0
CO,2012,0,11,15,4,0,0
CO,2013,0,14,16,4,0,0
CO,2014,0,14,17,3,0,0
CO,2015,0,18,16,3,0,0
CO,2016,0,18,18,3,0,0
CO,2017,0,19,17,3,0,0
CO,2018,0,21,16,3,0,0
CT,2012,0,11,8,2,0,0
CT,2013,0,10,9,2,0,0
CT,2014,0,11,9,2,0,0
CT,2015,0,11,9,2,0,0
CT,2016,0,17,8,2,0,0
CT,2017,0,17,8,2,0,0
CT,2018,0,17,8,2,0,0
DC,2012,0,4,2,1,0,0
DC,2013,0,4,2,0,0,0
DC,2014,0,4,3,0,0,0
DC,2015,0,4,3,0,0,0
DC,2016,0,4,3,0,0,0
DC,2017,0,4,4,0,0,0
DC,2018,0,5,4,0,0,0
DE,2012,0,4,9,5,0,0
DE,2013,0,4,9,5,0,0
DE,2014,0,3,9,5,0,0
DE,2015,0,3,9,4,0,0
DE,2016,0,3,8,4,0,0
DE,2017,0,3,7,4,0,0
DE,2018,0,3,7,3,0,0
FL,2012,0,15,7,9,0,0
FL,2013,0,15,8,9,0,0
FL,2014,0,14,8,9,0,0
FL,2015,0,14,8,9,0,0
FL,2016,0,14,7,7,0,0
FL,2017,0,14,7,7,0,0
FL,2018,0,15,7,6,0,0
GA,2012,0,6,9,5,0,0
GA,2013,0,6,9,4,0,0
GA,2014,0,5,10,4,0,0
GA,2015,0,6,7,4,0,0
GA,2016,0,6,7,3,0,0
GA,2017,0,6,6,3,0,0
GA,2018,0,6,5,3,0,0
HI,2012,0,16,3,3,0,0
HI,2013,0,16,3,3,0,0
HI,2014,0,15,3,3,0,0
