State Name,Year,Ozone Concentration (Annually Average)
Alabama,1993,0.044334333
Alabama,1994,0.041827981
Alabama,1995,0.046974754
Alabama,1996,0.046716842
Alabama,1997,0.047055353
Alabama,1998,0.051144444
Alabama,1999,0.052340137
Alabama,2000,0.052053857
Alabama,2001,0.046015159
Alabama,2002,0.045225026
Alabama,2003,0.044216548
Alabama,2004,0.043881644
Alabama,2005,0.045938607
Alabama,2006,0.049664143
Alabama,2007,0.050031289
Alabama,2008,0.044382627
Alabama,2009,0.038738808
Alabama,2010,0.04653958
Alabama,2011,0.045300373
Alabama,2012,0.044214889
Alabama,2013,0.039732884
Alabama,2014,0.040936493
Alabama,2015,0.039063391
Alabama,2016,0.042845087
Alabama,2017,0.039428029
Alabama,2018,0.040320924
Alabama,2019,0.041233212
Alabama,2020,0.032183667
Alaska,1993,0.031720667
Alaska,1994,0.031353667
Alaska,1995,0.029849333
Alaska,1996,0.032192333
Alaska,1997,0.033948
Alaska,1998,0.03412
Alaska,1999,0.033322333
Alaska,2000,0.026378333
Alaska,2001,0.033692667
Alaska,2002,0.034176333
Alaska,2003,0.036311
Alaska,2004,0.030363333
Alaska,2005,0.032781667
Alaska,2006,0.034358667
Alaska,2007,0.032976
Alaska,2008,0.031155667
Alaska,2009,0.034002
Alaska,2010,0.027904
Alaska,2011,0.025300333
Alaska,2012,0.029938083
Alaska,2013,0.029196
Alaska,2014,0.027239667
Alaska,2015,0.028776556
Alaska,2016,0.027497
Alaska,2017,0.027371222
Alaska,2018,0.025783222
Alaska,2019,0.029063833
Arizona,1993,0.043806768
Arizona,1994,0.046260737
Arizona,1995,0.046616825
Arizona,1996,0.049737391
Arizona,1997,0.048919535
Arizona,1998,0.050531365
Arizona,1999,0.051252737
Arizona,2000,0.050051313
Arizona,2001,0.049810059
Arizona,2002,0.05052159
Arizona,2003,0.050964163
Arizona,2004,0.047766175
Arizona,2005,0.049283948
Arizona,2006,0.049581333
Arizona,2007,0.04902921
Arizona,2008,0.050576095
Arizona,2009,0.048256611
Arizona,2010,0.049133801
Arizona,2011,0.05059203
Arizona,2012,0.050738593
Arizona,2013,0.049869906
Arizona,2014,0.04843279
Arizona,2015,0.047560753
Arizona,2016,0.047100493
Arizona,2017,0.048097641
Arizona,2018,0.047666724
Arizona,2019,0.047495052
Arizona,2020,0.035782914
Arkansas,1993,0.042040571
Arkansas,1994,0.043984857
Arkansas,1995,0.048157619
Arkansas,1996,0.043076238
Arkansas,1997,0.045368952
Arkansas,1998,0.047331238
Arkansas,1999,0.049065762
Arkansas,2000,0.046547143
Arkansas,2001,0.04691781
Arkansas,2002,0.043307917
Arkansas,2003,0.043826875
Arkansas,2004,0.040080074
Arkansas,2005,0.049545133
Arkansas,2006,0.044808481
Arkansas,2007,0.044121296
Arkansas,2008,0.041536333
Arkansas,2009,0.039587519
Arkansas,2010,0.043984633
Arkansas,2011,0.043298852
Arkansas,2012,0.046598148
Arkansas,2013,0.042231926
Arkansas,2014,0.039470222
Arkansas,2015,0.039326444
Arkansas,2016,0.04047475
Arkansas,2017,0.040460125
Arkansas,2018,0.039867958
Arkansas,2019,0.03977725
Arkansas,2020,0.035400905
California,1993,0.043500827
California,1994,0.044095071
California,1995,0.044648343
California,1996,0.044515804
California,1997,0.043053592
